21.3	9.01	13.33	656.7	24.3	9	0.034	2.96
21.4	9.21	14.91	648.4	30.2	13.9	0.05	3.38
21.2	9.01	13.14	654.6	30	7.4	0.037	3
21	8.85	11.66	657.6	29.4	6.8	0.034	2.84
20.8	8.72	11.18	660.4	28.5	6.1	0.033	2.68
20.6	8.61	10.65	663.7	27.2	5.3	0.026	2.57
21.2	9.04	13.36	657.1	31.3	16.9	0.053	3.33
21.2	8.68	10.7	661.4	25.2	5.6	0.03	2.52
21.4	8.94	12.16	654	32.2	5.1	0.024	2.5
20.8	8.71	10.68	659.3	27.9	4.8	0.024	2.45
20.4	8.61	10.02	660.2	26.1	4.7	0.023	2.41
20.4	8.56	9.71	665.9	24	4.7	0.022	2.48
21	8.73	10.42	665	27.6	4.6	0.018	2.33
21.5	8.92	11.44	660.1	29	6.7	0.032	2.56
20.9	8.79	10.56	661	25.8	5	0.022	2.5
20.3	8.67	9.91	662.2	26.5	4.9	0.023	2.4
19.6	8.56	9.2	661.7	26.3	4.6	0.023	2.27
19.5	8.54	9.02	664.3	26.8	4.5	0.021	2.34
20.6	8.85	11.19	663.8	29.5	6.6	0.032	2.7
20.7	8.98	11.71	657.1	33.8	6.5	0.031	2.65
20	8.76	10.19	660.1	28	5.1	0.024	2.43
19.6	8.61	9.29	663.5	33.6	4.7	0.025	2.34
19.1	8.52	8.86	665.1	26.9	4.7	0.025	2.4
19.2	8.42	8.54	667.3	25.2	4.6	0.022	2.42
21	8.75	10.13	665.1	28.4	5	0.022	2.33
21.7	8.92	11.38	656.7	28.2	5	0.023	2.23
20.8	8.79	10.51	655.1	23.6	4.6	0.018	2.26
20.1	8.68	9.94	660.2	25.2	4.4	0.018	2.29
19.5	8.59	9.48	656.4	29.3	4.4	0.021	2.31
19.2	8.54	9.15	660.1	30.4	4.7	0.023	2.34
21.2	8.71	10.09	644.4	26.6	5.1	0.021	2.26
21.4	8.84	10.73	657.8	27.8	4.7	0.022	2.08
20.8	8.97	11.93	652.5	29.6	4.7	0.02	2.16
20.4	8.87	10.67	653.8	30.7	4.6	0.016	2.04
20	8.7	9.66	657.5	29	4.4	0.021	2.07
19.6	8.71	9.52	657.1	29.1	4.2	0.022	2.03
21	8.91	10.83	637	28.3	4.4	0.015	1.97
21.3	8.99	11.52	650	30.1	4.6	0.016	1.96
20.9	8.95	11.33	644.7	30.7	4.4	0.012	1.94
20.3	8.89	11.03	636.4	28.7	4.3	0.01	1.9
19.8	8.75	9.72	656.1	29.8	4.3	0.015	1.95
19.4	8.73	10.38	653.3	40.4	4.3	0.021	2.01
19.7	8.68	10.25	640.6	36.7	4.5	0.015	2.04
20.2	8.77	10.67	656.8	33.2	5.4	0.026	2.18
19.7	8.64	9.73	646.9	39.8	4.9	0.021	2.13
19.1	8.52	8.95	661.1	43.9	4.7	0.022	2.09
18.5	8.42	8.3	663.4	41.8	4.5	0.02	2.12
18.5	8.34	8.23	665.3	36.1	4.5	0.022	2.17
20	8.69	9.54	663.6	34	4.8	0.018	2.14
19.2	8.63	9.67	650.1	42.6	4.7	0.017	1.98
18.6	8.56	8.82	661.3	42.7	4.4	0.015	1.99
18.1	8.62	8.79	662.4	47	4.4	0.013	1.98
17.6	8.53	8.22	662.9	46.5	4	0.014	1.9
17.4	8.48	8.05	666.8	42.2	4.1	0.019	1.85
19.2	8.62	9.36	657	38.7	4.7	0.016	2.06
20.3	8.85	10.94	662.4	45.6	5.6	0.025	2.15
19.4	8.76	10.26	662.4	42.5	4.5	0.012	2.02
18.6	8.64	9.32	664.9	43.9	4.1	0.013	2.01
18	8.54	9.02	666.4	46.8	4.2	0.019	1.99
17.8	8.5	8.59	669.2	46.7	4.1	0.021	2
18.4	8.63	9.41	668.3	41.9	4.5	0.021	2.08
18.1	8.87	12.31	677	22.8	3.9	0.036	2.03
17.5	8.5	11.77	734.9	25.2	7.5	0.025	2.08
17	8.43	10.29	737.2	25.2	7.3	0.021	2.1
16.6	8.28	10.21	741.6	23.9	7.2	0.024	2.17
16.6	8.24	9.96	743.8	21.3	7.3	0.02	2.16
18.4	8.68	13.57	740.3	20.2	8.8	0.024	2.24
18.3	8.78	14.91	729.5	24.1	10.6	0.032	2.44
17.5	8.71	14.08	732	20.4	8.1	0.024	2.26
16.8	8.51	11.97	738	21.4	7.5	0.019	2.14
16.3	8.44	11.22	741.4	27	7.2	0.019	2.01
15.9	8.45	11.32	742.3	24.5	8.1	0.026	2.18
17.4	8.57	12.67	741.6	21.6	8.2	0.022	2.19
18.1	8.72	13.95	734.8	20.9	8	0.024	2.07
17	8.62	12.63	734.8	17.9	6.9	0.018	1.98
16.3	8.43	11.1	739.9	21.6	7	0.017	2.1
15.8	8.35	10.3	743.2	29.1	7	0.02	1.98
15.5	8.27	9.9	746.4	23.1	7.2	0.02	2.12
16.5	8.69	13.74	739.6	28.8	12.3	0.042	2.71
16.3	8.45	11.72	739.3	24.5	7.8	0.027	2.16
16.4	8.62	13.11	737.9	19	7.4	0.016	2.1
15.9	8.48	11.35	740.6	24.6	7	0.018	2.03
15.4	8.43	10.92	743.1	27.6	7.2	0.02	2.06
15.1	8.39	10.61	745.4	23	7.2	0.021	2.03
16.5	8.66	12.92	741.7	23.5	8.5	0.022	2.18
16.8	8.82	15.29	732.6	22.9	8.7	0.034	2.09
